V1.V,I(D1.nA),V(D),
0.38,0.000012245720152214868,0.36775427984778514,
0.381,0.000012458802904323163,0.36854119709567684,
0.382,0.000012674786256503478,0.3693252137434965,
0.383,0.00001289368780649447,0.37010631219350554,
0.384,0.000013115524752784935,0.3708844752472151,
0.385,0.00001334031388664969,0.3716596861133503,
0.386,0.000013568071584487974,0.37243192841551204,
0.387,0.000013798813800468435,0.3732011861995316,
0.388,0.000014032556059495104,0.3739674439405049,
0.389,0.000014269313450496368,0.37473068654950364,
0.39,0.000014509100620050563,0.37549089937994945,
0.391,0.000014751931766351257,0.37624806823364876,
0.392,0.000014997820633519899,0.3770021793664801,
0.393,0.000015246780506272207,0.3777532194937278,
0.394,0.000015498824204942363,0.37850117579505765,
0.395,0.000015753964080870654,0.37924603591912937,
0.396,0.00001601221201215747,0.37998778798784255,
0.397,0.00001627357939978802,0.380726420600212,
0.398,0.000016538077164128474,0.38146192283587155,
0.399,0.000016805715741798233,0.3821942842582018,
0.4,0.00001707650508291675,0.3829234949170833,
0.401,0.000017350454648727308,0.3836495453512727,
0.402,0.000017627573409597418,0.3843724265904026,
0.403,0.000017907869843394097,0.3850921301566059,
0.404,0.000018191351934235158,0.38580864806576487,
0.405,0.0000184780271716109,0.3865219728283891,
0.406,0.00001876790254987759,0.38723209745012244,
0.40700000000000003,0.000019060984568117333,0.3879390154318827,
0.40800000000000003,0.00001935727923035968,0.38864272076964035,
0.40900000000000003,0.000019656792046164884,0.38934320795383515,
0.41000000000000003,0.000019959528031558206,0.3900404719684418,
0.41100000000000003,0.00002026549171031594,0.3907345082896841,
0.41200000000000003,0.00002057468711559146,0.39142531288440857,
0.41300000000000003,0.000020887117791880296,0.39211288220811974,
0.41400000000000003,0.000021202786797313744,0.3927972132026863,
0.41500000000000004,0.00002152169670627574,0.3934783032937243,
0.41600000000000004,0.000021843849612334544,0.3941561503876655,
0.417,0.000022169247131481383,0.3948307528685186,
0.418,0.000022497890405668574,0.3955021095943314,
0.419,0.000022829780106636943,0.39617021989336304,
0.42,0.00002316491644002483,0.39683508355997515,
0.421,0.000023503299149748415,0.39749670085025157,
0.422,0.00002384492752264583,0.39815507247735415,
0.423,0.000024189800393372208,0.3988101996066278,
0.424,0.00002453791614953843,0.39946208385046156,
0.425,0.000024889272737082635,0.40011072726291735,
0.426,0.000025243867665863452,0.40075613233413654,
0.427,0.000025601698015466358,0.40139830198453363,
0.428,0.000025962760441210875,0.4020372395587891,
0.429,0.00002632705118034884,0.40267294881965116,
0.43,0.000026694566058444393,0.4033054339415556,
0.431,0.000027065300495922263,0.40393469950407773,
0.432,0.000027439249514777332,0.40456075048522266,
0.433,0.00002781640774543165,0.40518359225456835,
0.434,0.00002819676943373045,0.40580323056626955,
0.435,0.000028580328448066905,0.4064196715519331,
0.436,0.000028967078286622874,0.4070329217133771,
0.437,0.000029357012084718582,0.4076429879152814,
0.438,0.00002975012262225879,0.4082498773777412,
0.439,0.00003014640233126692,0.4088535976687331,
0.44,0.00003054584330349569,0.4094541566965043,
0.441,0.00003094843729810692,0.4100515627018931,
0.442,0.000031354175749408575,0.41064582425059143,
0.443,0.000031763049774641725,0.4112369502253583,
0.444,0.00003217505018180722,0.4118249498181928,
0.445,0.00003259016747752358,0.4124098325224764,
0.446,0.000033008391874907896,0.4129916081250921,
0.447,0.000033429713301470374,0.41357028669852963,
0.448,0.000033854121407015603,0.4141458785929844,
0.449,0.00003428160557154131,0.4147183944284587,
0.45,0.000034712154913129066,0.41528784508687094,
0.451,0.000035145758295816346,0.41585424170418367,
0.452,0.00003558240433744658,0.41641759566255343,
0.453,0.00003602208141748725,0.41697791858251276,
0.454,0.00003646477768481166,0.41753522231518836,
0.455,0.000036910481065436595,0.4180895189345634,
0.456,0.000037359179270210655,0.41864082072978936,
0.457,0.00003781085980244764,0.4191891401975524,
0.458,0.000038265509965499266,0.41973449003450075,
0.459,0.000038723116870260867,0.42027688312973915,
0.46,0.000039183667442608425,0.4208163325573916,
0.461,0.000039647148430758395,0.4213528515692416,
0.462,0.00004011354641254861,0.4218864535874514,
0.463,0.000040582847802634715,0.4224171521973653,
0.464,0.00004105503885959977,0.42294496114040026,
0.465,0.00004153010569297161,0.4234698943070284,
0.466,0.00004200803427014604,0.423991965729854,
0.467,0.000042488810423211955,0.4245111895767881,
0.468,0.00004297241985567596,0.42502758014432407,
0.46900000000000003,0.0000434588481490838,0.42554115185091623,
0.47000000000000003,0.00004394808076953599,0.42605191923046404,
0.47100000000000003,0.00004444010307409568,0.42655989692590435,
0.47200000000000003,0.00004493490031708669,0.42706509968291334,
0.47300000000000003,0.00004543245765627962,0.4275675423437204,
0.47400000000000003,0.00004593276015896619,0.42806723984103384,
0.47500000000000003,0.00004643579280791738,0.42856420719208266,
0.47600000000000003,0.00004694154050722732,0.4290584594927727,
0.47700000000000004,0.00004744998808804013,0.4295500119119599,
0.47800000000000004,0.00004796112031415944,0.4300388796858406,
0.47900000000000004,0.00004847492188753977,0.43052507811246027,
0.48,0.000048991377453660333,0.43100862254633965,
0.481,0.0000495104716067789,0.4314895283932211,
0.482,0.00005003218889506783,0.43196781110493215,
0.483,0.00005055651382563059,0.4324434861743694,
0.484,0.000051083430869399816,0.43291656913060017,
0.485,0.00005161292446591714,0.43338707553408284,
0.486,0.00005214497902799398,0.433855020972006,
0.487,0.00005267957894625602,0.43432042105374397,
0.488,0.00005321670859356936,0.4347832914064306,
0.489,0.000053756352329351775,0.4352436476706482,
0.49,0.000054298494503767,0.435701505496233,
0.491,0.0000548431194618057,0.4361568805381943,
0.492,0.00005539021154725216,0.43660978845274784,
0.493,0.00005593975510653887,0.4370602448934611,
0.494,0.00005649173449248918,0.4375082655075108,
0.495,0.00005704613406795034,0.43795386593204966,
0.496,0.00005760293820931745,0.43839706179068255,
0.497,0.00005816213130995007,0.4388378686900499,
0.498,0.00005872369778348225,0.43927630221651776,
0.499,0.00005928762206702848,0.4397123779329715,
0.5,0.00005985388862428559,0.4401461113757144,
0.501,0.000060422481948534445,0.44057751805146556,
0.502,0.000060993386565539545,0.44100661343446046,
0.503,0.00006156658703635238,0.44143341296364763,
0.504,0.00006214206796001548,0.4418579320399845,
0.505,0.00006271981397617393,0.44228018602382607,
0.506,0.00006329980976759097,0.44270019023240903,
0.507,0.00006388204006257364,0.44311795993742636,
0.508,0.00006446648963730695,0.44353351036269306,
0.509,0.00006505314331810081,0.4439468566818992,
0.51,0.00006564198598354942,0.4443580140164506,
0.511,0.00006623300256660653,0.4447669974333935,
0.512,0.00006682617805657698,0.44517382194342303,
0.513,0.00006742149750102783,0.4455785024989722,
0.514,0.00006801894600761793,0.4459810539923821,
0.515,0.00006861850874585247,0.44638149125414756,
0.516,0.00006922017094875854,0.4467798290512415,
0.517,0.00006982391791448883,0.4471760820855112,
0.518,0.00007042973500785044,0.4475702649921496,
0.519,0.00007103760766176448,0.44796239233823554,
0.52,0.00007164752137865583,0.4483524786213442,
0.521,0.00007225946173177494,0.4487405382682251,
0.522,0.00007287341436645494,0.4491265856335451,
0.523,0.00007348936500130304,0.449510634998697,
0.524,0.00007410729942933093,0.4498927005706691,
0.525,0.00007472720351902362,0.4502727964809764,
0.526,0.00007534906321534851,0.4506509367846515,
0.527,0.00007597286454070751,0.4510271354592925,
0.528,0.00007659859359583343,0.4514014064041666,
0.529,0.00007722623656063032,0.4517737634393697,
0.53,0.00007785577969496204,0.452144220305038,
0.531,0.00007848720933938903,0.452512790660611,
0.532,0.00007912051191585473,0.4528794880841453,
0.533,0.0000797556739283239,0.45324432607167614,
0.534,0.00008039268196337318,0.45360731803662685,
0.535,0.00008103152269073594,0.4539684773092641,
0.536,0.00008167218286380434,0.4543278171361957,
0.537,0.0000823146493200852,0.45468535067991483,
0.538,0.00008295890898161734,0.4550410910183827,
0.539,0.00008360494885534698,0.45539505114465306,
0.54,0.00008425275603346444,0.4557472439665356,
0.541,0.0000849023176937021,0.45609768230629794,
0.542,0.0000855536210995978,0.45644637890040224,
0.543,0.00008620665360072066,0.4567933463992794,
0.544,0.00008686140263286441,0.45713859736713564,
0.545,0.00008751785571820586,0.4574821442817942,
0.546,0.00008817600046543283,0.4578239995345672,
0.547,0.00008883582456984158,0.45816417543015847,
0.548,0.00008949731581340248,0.45850268418659756,
0.549,0.00009016046206479921,0.4588395379352008,
